address,blockHash,blockNumber,data,event,exchange,msg.sender,timestamp,token,transactionHash
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0x86b374b4e64682d37a5f45d1ea3cd8ce526e5108a0ad907a10296e21dd4d7eac,6627956,b'',NewExchange,0x2C4Bd064b998838076fa341A83d007FC2FA50957,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541137662,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xc546ea6ddf40359322b63c19c897cf0818add5e7bc964817c392521170212dcd
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0xfef3d43cc0aa7ce53d64c5fc82984ed6e84ad5844b014d7fd5ce3ffa2a041cab,6627966,b'',NewExchange,0xDdee242662323a3cff3F9AA139fFA496aC3C73B0,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541137749,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,0xe399afc6974b53775aa0fe9fd3bb353f2dc24c410a95b2b782a26bee7834f6f3
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0x06a77abe52c486f58696665eaebd707f17fbe97eb54480c6533db725769ce3b7,6627972,b'',NewExchange,0xaE76c84C9262Cdb9abc0C2c8888e62Db8E22A0bF,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541137890,0xE41d2489571d322189246DaFA5ebDe1F4699F498,0x14455f1af43a52112d4ccf6043cb081fea4ea3a07d90dd57f2a9e1278114be94
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0xc147ea2fc764022bf6808ca8a388bf960e9002939ec29bb18ee2903561283ae0,6627974,b'',NewExchange,0x255e60c9d597dCAA66006A904eD36424F7B26286,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541137924,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0xb256d3ed140c7ce36a1434077e36105cd8bac8229e42cf169cd019a66b42d71c
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0xd78c62fb869a9c4df742c51621584bbfd1de7af702a08ce9f649b45ad5f5fe35,6627976,b'',NewExchange,0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541137942,0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359,0x7ad3f3ea801892805dc244002ecdce2c7a27c8db45f91ebc4db8de98bf489d72
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0x219f01bd37a86cdbfdcce848a07bb0abd71d44a90e1e02e4c8b5ef1ee40bffd1,6627979,b'',NewExchange,0xe8e45431b93215566BA923a7E611B7342Ea954DF,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541137975,0x6810e776880C02933D47DB1b9fc05908e5386b96,0x504b04b5d7f847250f44200c3f2b174563a17eec67b885048f3d815700d424a5
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0xb957c5c82682f3c467963920bb56e14d973281aa778f47ce2b881bdfdf05bda7,6627984,b'',NewExchange,0x49c4f9bc14884f6210F28342ceD592A633801a8b,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541138038,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,0xad1ddcebe7540aa5e91f6ebae4d9d031b899af23d58c53423d042e7ceda22729
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0x8c407d7be027698612ac86e8aa01e22b6aa3e77cb4218631d595e97ac14385dd,6627987,b'',NewExchange,0xF173214C720f58E03e194085B1DB28B50aCDeeaD,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541138090,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xa06ab5e584115abfe7602ee40d07e1a55d9876d6e6e80cdf90b8f46cf88df214
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0x6b78fe7041f42965c92f75af2be275b3f418fdd432dcd69569344af16ac70b1f,6627990,b'',NewExchange,0x417CB32bc991fBbDCaE230C7c4771CC0D69daA6b,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541138115,0xA4e8C3Ec456107eA67d3075bF9e3DF3A75823DB0,0xd4acf7ae57c72a2ed37665a3e13ceb880c725576336bb1324fbd7f8b759c7a7c
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,0xce5c2c5fbfdad297b1ef8eeada820d15ef1786e25fcd9fa6f7db06a214fb6183,6627992,b'',NewExchange,0xC6581Ce3A005e2801c1e0903281BBd318eC5B5C2,0xD1C24f50d05946B3FABeFBAe3cd0A7e9938C63F2,1541138133,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,0xa4d14716676cc569b39e567ea3191b86cd60c1fc190e98ff5318b6a6764dac1a
